TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;10;SAN;1994;84;S;S;MERL;MER;0;70;70;F;2;160;1;;1
TC;ITA;10;SAN;1994;84;S;S;MERL;MER;0;70;70;F;2;190;1;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;110;1;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;115;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;115;3;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;120;1;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;120;2;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;120;3;;12
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;120;4;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;125;1;;4
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;125;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;125;3;;20
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;125;4;;11
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;130;1;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;130;2;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;130;3;;9
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;135;1;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;135;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;135;3;;8
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;140;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;145;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;145;3;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;150;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;155;3;;4
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;160;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;160;3;;4
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;165;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;170;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;175;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;180;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;M;104;185;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;105;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;110;3;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;115;3;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;120;1;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;120;3;;7
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;125;1;;4
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;125;3;;18
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;130;1;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;130;3;;23
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;135;3;;17
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;140;3;;8
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;145;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;150;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;155;1;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;155;3;;4
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;160;3;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;165;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;170;3;;3
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;175;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;180;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;185;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;190;3;;6
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;195;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;200;3;;2
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;205;2;;1
TC;ITA;10;SAN;1994;84;S;S;MULL;BAR;0;6150;6150;F;121;210;3;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ACA;0;30;30;M;1;115;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;160;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;170;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;180;1;;2
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;190;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;200;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;220;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;240;1;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;M;9;240;2;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;140;2;;2
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;170;2;;2
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;175;3;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;180;2;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;190;2;;1
TC;ITA;10;SAN;1994;84;S;S;PAGE;ERY;0;1500;1500;F;8;190;3;;1
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;M;4;155;1;;2
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;M;4;165;1;;1
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;M;4;170;1;;1
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;F;1;160;1;;1
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;90;0;;3
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;100;0;;11
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;105;0;;4
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;110;0;;9
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;115;0;;11
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;120;0;;7
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;125;0;;13
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;130;0;;14
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;135;0;;10
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;140;0;;3
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;145;0;;3
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;150;0;;1
TC;ITA;10;SAN;1994;84;S;S;SPIC;FLE;0;1900;1900;I;90;165;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;135;1;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;140;1;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;140;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;140;3;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;140;4;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;145;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;145;3;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;155;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;155;3;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;M;14;160;2;;3
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;140;1;;4
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;140;2;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;145;1;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;150;1;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;155;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;160;2;;3
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;165;2;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;170;2;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;175;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;180;2;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;185;3;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;190;1;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;200;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;F;23;240;2;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;75;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;80;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;85;0;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;90;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;95;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;110;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;115;0;;3
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;120;0;;1
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;125;0;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;130;0;;2
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;135;0;;4
TC;ITA;10;SAN;1994;84;S;S;TRAC;MED;0;1500;1500;I;21;140;0;;2
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;M;1;130;1;;1
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;40;0;;6
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;45;0;;4
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;50;0;;11
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;55;0;;9
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;60;0;;6
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;65;0;;1
TC;ITA;10;SAN;1994;85;S;S;LOLI;VUL;0;350;350;I;40;70;0;;3
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;85;0;;5
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;90;0;;8
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;95;0;;11
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;100;0;;8
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;105;0;;9
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;110;0;;2
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;115;0;;3
TC;ITA;10;SAN;1994;85;S;S;PAGE;ACA;0;500;500;I;47;120;0;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;130;1;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;135;1;;3
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;140;1;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;145;1;;2
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;145;2;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;F;9;150;1;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;I;4;115;0;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;I;4;120;0;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;I;4;135;0;;1
TC;ITA;10;SAN;1994;85;S;S;PAGE;ERY;0;350;350;I;4;145;0;;1
TC;ITA;10;SAN;1994;85;S;S;SPAR;PAG;0;40;40;I;1;55;0;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;140;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;145;1;;2
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;150;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;160;1;;2
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;165;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;170;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;M;9;175;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;95;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;100;1;;10
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;105;1;;22
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;110;1;;42
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;115;1;;29
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;120;1;;9
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;125;1;;5
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;130;1;;6
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;135;1;;6
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;140;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;F;132;145;1;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;90;0;;2
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;95;0;;1
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;100;0;;4
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;105;0;;3
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;110;0;;2
TC;ITA;10;SAN;1994;85;S;S;SPIC;FLE;0;2550;2550;I;13;125;0;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;100;1;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;130;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;135;2;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;140;1;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;140;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;M;6;145;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;135;1;;5
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;135;2;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;135;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;140;2;;2
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;140;3;;2
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;145;2;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;145;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;MED;0;400;400;F;14;150;3;;1
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;M;68;140;2;;17
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;M;68;150;2;;34
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;M;68;150;3;;17
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;F;34;115;2;;17
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;F;34;135;3;;17
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;95;0;;17
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;100;0;;102
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;105;0;;425
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;110;0;;612
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;115;0;;153
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;120;0;;34
TC;ITA;10;SAN;1994;85;S;S;TRAC;TRA;0;17000;17000;I;1360;125;0;;17
TC;ITA;10;SAN;1994;86;S;S;ELED;CIR;0;100;100;F;1;85;2;;1
TC;ITA;10;SAN;1994;86;S;S;LOPH;BUD;0;100;100;F;1;220;1;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;M;1;250;1;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;145;1;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;160;1;;3
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;165;1;;4
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;165;2;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;170;2;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;175;2;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;180;2;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;210;2;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;235;2;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;F;17;290;2;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;80;0;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;85;0;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;100;0;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;105;0;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;115;0;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;120;0;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;130;0;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;135;0;;1
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;150;0;;2
TC;ITA;10;SAN;1994;86;S;S;MERL;MER;0;1150;1150;I;16;160;0;;2
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;M;10;135;1;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;M;10;135;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;M;10;150;3;;4
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;M;10;155;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;M;10;160;3;;3
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;145;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;160;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;170;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;175;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;190;3;;2
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;200;3;;1
TC;ITA;10;SAN;1994;86;S;S;MULL;BAR;0;900;900;F;8;205;3;;1
TC;ITA;10;SAN;1994;86;S;S;PAGE;ACA;0;100;100;I;1;170;0;;1
TC;ITA;10;SAN;1994;86;S;S;PAPE;LON;m;100;100;F;4;21;1;;1
TC;ITA;10;SAN;1994;86;S;S;PAPE;LON;m;100;100;F;4;23;2;;1
TC;ITA;10;SAN;1994;86;S;S;PAPE;LON;m;100;100;F;4;24;2;;1
TC;ITA;10;SAN;1994;86;S;S;PAPE;LON;m;100;100;F;4;25;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;MED;0;50;50;F;1;155;2;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;M;4;160;1;;2
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;M;4;165;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;M;4;175;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;155;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;160;1;;6
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;165;1;;2
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;170;1;;4
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;175;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;185;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;F;16;270;1;;1
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;I;3;75;0;;2
TC;ITA;10;SAN;1994;86;S;S;TRAC;TRA;0;650;650;I;3;100;0;;1
TC;ITA;10;SAN;1994;86;S;S;ZEUS;FAB;0;1100;1100;F;1;350;2;;1
TC;ITA;10;SAN;1994;87;S;S;ILLE;COI;0;150;150;F;1;180;3;;1
TC;ITA;10;SAN;1994;87;S;S;MERL;MER;0;150;150;F;3;165;1;;1
TC;ITA;10;SAN;1994;87;S;S;MERL;MER;0;150;150;F;3;195;1;;1
TC;ITA;10;SAN;1994;87;S;S;MERL;MER;0;150;150;F;3;230;1;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;120;2;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;120;3;;3
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;125;2;;2
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;130;2;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;130;3;;10
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;135;2;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;135;3;;7
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;140;3;;7
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;145;3;;2
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;150;1;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;150;3;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;M;37;160;3;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;125;3;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;130;3;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;135;3;;2
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;140;3;;3
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;145;3;;3
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;150;3;;3
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;155;3;;2
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;160;2;;1
TC;ITA;10;SAN;1994;87;S;S;MULL;BAR;0;2050;2050;F;24;160;3;;4
