"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
101;"ZEUS";"FAB";1;0.714991547983642;39.8617931666626
146;"PAPE";"LON";1;0.852358375833043;17.3215431857123
8;"HELI";"DAC";2;1.667274667627;19.9562398945679
124;"TRAC";"MED";2;1.23176247562364;62.3689663859428
104;"ELED";"CIR";3;3.03790398794843;-1.24770197145124
102;"PHYI";"BLE";5;4.5245196920118;10.5089675889284
124;"PAGE";"BOG";5;3.14459792974555;59.0028395269149
137;"EUTR";"GUR";5;6.327313390045;-20.9775193391449
137;"PAPE";"LON";5;5.78283103117932;-13.5371589963207
89;"HELI";"DAC";6;4.509016945499;33.066698850829
90;"HELI";"DAC";6;4.509016945499;33.066698850829
103;"PHYI";"BLE";7;3.77165767567201;85.5947862169856
132;"ASPI";"CUC";7;7.44199088848083;-5.93914847658534
8;"ZEUS";"FAB";7;8.19632213509706;-14.5958408586011
124;"TRAC";"TRA";7;5.36051315465957;30.5845130501234
129;"OCTO";"VUL";7;6.75682677035636;3.59892650660362
8;"PAGE";"ACA";8;7.9924318805213;0.0946910726526955
129;"ILLE";"COI";8;6.26314485892848;27.7313582903249
26;"HELI";"DAC";8;6.66909867050799;19.9562398945679
106;"HELI";"DAC";8;7.63318393299442;4.80554471404812
104;"PHYI";"BLE";9;6.33261995879059;42.1212714258449
110;"HELI";"DAC";9;6.76352541824849;33.066698850829
7;"CITH";"MAC";9;8.1121456288126;10.9447538519764
104;"TRAC";"TRA";9;6.21698785010207;44.7646387124955
111;"PHYI";"BLE";10;7.40163313154694;35.1053182760221
21;"TRIS";"CAP";10;11.9685425246841;-16.4476378023817
113;"TRIS";"CAP";10;10.0586519552306;-0.583099559381047
99;"ILLE";"COI";10;11.0389340792067;-9.41154346744143
83;"HELI";"DAC";10;9.61925700614211;3.95813308257356
99;"SPIC";"SMA";10;8.13195110661424;22.9717182124516
103;"HELI";"DAC";11;11.8638641273546;-7.28147354084019
97;"PHYI";"BLE";12;11.35314534845;5.69758099360794
7;"ZEUS";"FAB";12;13.801424548293;-13.0524536941068
88;"TRAC";"MED";12;14.7866168749485;-18.8455337587709
97;"LOLI";"VUL";12;19.8492887122425;-39.54443318365
137;"LOLI";"VUL";12;10.4694177219328;14.6195549620755
136;"PHYI";"BLE";14;11.35314534845;23.3138444925426
23;"TRIS";"CAP";14;11.9685425246841;16.9733070766656
136;"ELED";"CIR";14;12.897838356209;8.54532064483855
112;"TRIP";"LAS";14;12.7200431470077;10.0625197430513
10;"SPIC";"SMA";14;10.6625815342778;31.3002855358539
132;"PAPE";"LON";15;22.1611476643646;-32.3139747671092
105;"CITH";"MAC";15;16.2242912576252;-7.54603845668632
111;"ASPI";"CUC";16;13.5870918129055;17.7588274247375
86;"NEPR";"NOR";16;10.2777158378213;55.6766138748562
103;"SPIC";"SMA";16;9.341084134514;71.2863278993735
106;"TRIP";"LAS";17;11.8259183503267;43.752049493309
125;"PAGE";"BOG";18;17.5373571682908;2.6380419083081
138;"ELED";"CIR";18;18.3813029537251;-2.07440655695073
95;"HELI";"DAC";18;11.8638641273546;51.7212251149888
99;"OCTO";"VUL";18;11.135021110154;61.6521407721969
16;"TRIS";"CAP";19;31.2292952297277;-39.1596900915215
129;"SPIC";"FLE";19;16.303905242605;16.5364967305479
117;"PAGE";"ACA";20;33.739251916265;-40.7218629220455
14;"PHYI";"BLE";20;17.4670174962745;14.5015169548305
76;"ELED";"CIR";20;21.4443362151941;-6.7352805920417
6;"ASPI";"CUC";20;21.8997748645519;-8.67486024994252
16;"CITH";"MAC";20;17.8720497094643;11.9065822058946
136;"NEPR";"NOR";20;23.9308343405475;-16.4258140130418
117;"TRAC";"TRA";20;13.5757130534865;47.3219117198684
138;"SPIC";"SMA";21;11.1626276713399;88.1277475008655
117;"MULL";"BAR";22;23.4213141207078;-6.06846444816313
88;"ELED";"CIR";22;25.1827230050267;-12.6385180998553
118;"PAPE";"LON";22;25.6109773009138;-14.0993342756386
112;"CITH";"MAC";22;13.9104105118286;58.1549299446803
144;"NEPR";"NOR";22;22.8762903287866;-3.8305613200054
124;"MULL";"BAR";23;16.4647067131482;39.6927403610109
125;"TRIS";"CAP";23;22.5656669495882;1.92475166536026
6;"ZEUS";"FAB";23;20.6321428038623;11.4765452073863
121;"MERL";"MER";23;24.520806041411;-6.20210460799154
4;"MULL";"BAR";24;25.7228011555175;-6.69756433252191
104;"ASPI";"CUC";24;18.5518199524394;29.3673615932445
11;"ZEUS";"FAB";24;22.0786165639663;8.70246299385242
76;"ZEUS";"FAB";24;19.9181013766201;20.4934122293967
8;"PAPE";"LON";24;26.1130328469595;-8.09187067371048
135;"PAPE";"LON";24;29.5793662686729;-18.8623590444598
11;"SPIC";"SMA";24;16.2639022132285;47.5660618549419
111;"SPIC";"SMA";24;18.682168269028;28.4647459245301
100;"ILLE";"COI";25;25.8313191409824;-3.21826050170035
88;"EUTR";"GUR";26;27.4781712480639;-5.37943822650868
113;"PAPE";"LON";26;38.1782078912291;-31.8983225350054
1;"CITH";"MAC";26;22.3562070977228;16.2987974048978
13;"SPIC";"SMA";26;24.2023844300133;7.4274316862659
109;"SPIC";"FLE";27;21.4319444677146;25.9801696513035
126;"SPIC";"FLE";27;28.5292761437036;-5.36037485143522
14;"ASPI";"CUC";28;31.3221229234673;-10.6063146855804
21;"ZEUS";"FAB";28;27.6028490965861;1.43880402354211
14;"SPIC";"FLE";28;16.303905242605;71.7379951818601
11;"TRIP";"LAS";28;39.3613785193109;-28.8642800295649
105;"TRIP";"LAS";28;27.1001137060069;3.32059969841988
134;"PAPE";"LON";28;32.0035288572624;-12.5096481551093
13;"CITH";"MAC";28;28.076803519671;-0.273547947212864
