"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
107;"HELI";"DAC";2;2.96596603183864;-32.5683443933383
103;"HELI";"DAC";3;2.96596603183864;1.14748340999252
108;"TRIS";"CAP";4;4.06270110140702;-1.54333532893426
100;"EUTR";"GUR";4;3.65607630964687;9.40690678270734
124;"EUTR";"GUR";4;2.97322512662204;34.5340439976878
138;"TRAC";"MED";5;5.47006750357178;-8.5934497748856
79;"HELI";"DAC";6;5.93193206367728;1.14748340999252
111;"HELI";"DAC";6;7.25633247563049;-17.3136013247702
109;"EUTR";"GUR";6;6.327313390045;-5.17302320697393
79;"SPIC";"SMA";6;7.03041371625216;-14.6565160720223
138;"HELI";"DAC";7;10.1158737303467;-30.8018250662752
118;"PAGE";"ERY";7;4.48363009839461;56.1234947215293
104;"TRIS";"CAP";8;9.03876441037924;-11.4923275263865
100;"ASPI";"CUC";8;7.62326486696942;4.94191320392038
77;"NEPR";"NOR";8;11.4839962566333;-30.3378386650109
132;"PHYI";"BLE";9;9.0490393840236;-0.541929169964474
135;"PHYI";"BLE";9;8.75576551175094;2.78941330625259
107;"SPIC";"SMA";9;7.88631502019243;14.1217409773265
108;"PAGE";"ERY";10;12.9609907003052;-22.8454040958112
108;"SPIC";"SMA";10;11.1626276713399;-10.4153583329212
90;"HELI";"DAC";12;13.527050836497;-11.2888674327806
22;"CITH";"MAC";12;12.4797910237574;-3.84454373349676
138;"NEPR";"NOR";12;13.4855242565169;-11.0156952615249
126;"SPIC";"SMA";12;13.6112445390196;-11.8375989381473
102;"TRAC";"TRA";12;11.6641280210253;2.87952925730274
104;"ELED";"CIR";13;12.897838356209;0.792083455921509
102;"ASPI";"CUC";13;11.2657682338399;15.3938171828429
84;"PHYI";"BLE";14;12.6652399175812;10.5387666645461
107;"PHYI";"BLE";14;10.6272621907815;31.7366575574293
137;"PHYI";"BLE";14;20.8579892631764;-32.8794361558323
134;"TRAC";"TRA";14;15.7443980366953;-11.0794838432672
136;"TRAC";"TRA";14;18.1325452825281;-22.7907622351843
138;"TRIS";"CAP";15;15.0374953788361;-0.249345904297609
135;"ZEUS";"FAB";15;10.2017368521801;47.033786671282
175;"PAPE";"LON";15;16.7009507843652;-10.1847541875137
135;"MERL";"MER";15;11.773196220188;27.4080523203955
133;"PAPE";"LON";16;23.3290603903117;-31.4160119082867
105;"SPIC";"SMA";16;13.0620960625043;22.4918261467174
125;"ASPI";"CUC";17;15.3795705657332;10.5362462972616
112;"SPIC";"SMA";17;20.3500442051;-16.4620979263547
1;"TRAC";"TRA";17;17.4870866028;-2.78540739154366
135;"TRIS";"CAP";18;16.8663347161476;6.72146795928979
118;"ASPI";"CUC";18;11.9205772059849;50.9993995170202
100;"MERL";"MER";18;13.1052817401087;37.3492028401874
97;"LOLI";"VUL";18;18.2782072504582;-1.52207077338656
101;"TRIS";"CAP";19;15.9745764422225;18.9389907689883
136;"TRIS";"CAP";19;20.3319611499954;-6.55107070178387
117;"ASPI";"CUC";19;19.7442376427876;-3.76939163847384
128;"PAPE";"LON";19;22.7918942127074;-16.6370297146837
174;"LOPH";"BUD";20;22.6752016458412;-11.797917776541
79;"TRIS";"CAP";20;19.5533403230497;2.28431393087227
180;"PAGE";"ERY";20;22.2104257918791;-9.95219908250177
7;"PAPE";"LON";20;31.6768238022624;-36.8623567664269
14;"PAPE";"LON";20;16.9308969623111;18.1272323877516
6;"CITH";"MAC";20;35.7440994189286;-44.0467088970527
173;"NEPR";"NOR";20;35.8936738908524;-44.2798748859836
97;"SPIC";"SMA";20;16.2639022132285;22.9717182124516
109;"SPIC";"SMA";20;18.9060600247167;5.78618693611033
129;"SPIC";"SMA";20;18.7893970385549;6.44301123107331
109;"SPIC";"FLE";21;17.5894558731188;19.3897079675639
99;"SPIC";"SMA";21;15.2190988800123;37.984516465557
106;"PHYI";"BLE";22;13.1144832245827;67.7534648011266
112;"ASPI";"CUC";22;18.9706628024928;15.9685364135467
133;"HELI";"DAC";22;18.5872328667687;18.360813348031
131;"ASPI";"CUC";23;22.4709562687032;2.35434453687939
126;"SPIC";"FLE";23;22.1365326498214;3.90064407934999
103;"PAPE";"LON";23;23.6752662373499;-2.85220124065423
79;"LOPH";"PIS";23;23.8042287187024;-3.37851197871646
133;"PHYI";"BLE";24;17.3020469949415;38.7119108335376
124;"PAGE";"ERY";24;25.0200914832361;-4.07708934205783
117;"EUTR";"GUR";24;19.5731549555434;22.6169212603248
146;"PAPE";"LON";24;28.201889698222;-14.8993196668199
102;"PHYI";"BLE";25;14.7025385757918;70.038662854885
88;"PAPE";"LON";25;26.2114460586926;-4.62182077242099
126;"LOPH";"PIS";25;41.2503781727493;-39.3944950145562
132;"SPIC";"SMA";25;24.6721288923707;1.32891291651256
132;"TRAC";"TRA";25;30.1584692026946;-17.1045458840255
95;"PHYI";"BLE";26;23.4010676612754;11.1060417257172
81;"TRAC";"TRA";26;28.605241889308;-9.10756811422656
137;"TRIS";"CAP";27;26.6656119677243;1.25400471843824
131;"LOLI";"VUL";27;21.4566700241441;25.8349966216487
103;"PHYI";"BLE";28;22.2663527924745;25.7502755883007
96;"LOPH";"BUD";28;28.6820311856085;-2.37790406542313
135;"HELI";"DAC";28;32.4305928620764;-13.6617695548126
113;"MICM";"POU";28;27.4689446544707;1.93329358739275
135;"SPIC";"SMA";28;30.4381977600246;-8.01032235629536
126;"MULL";"BAR";29;32.182760658681;-9.88964462196456
27;"PHYI";"BLE";30;31.8126697799546;-5.6979492525861
136;"PHYI";"BLE";30;24.8686506278215;20.6338069924787
113;"TRIS";"CAP";31;20.3556800058166;52.2916453350698
81;"HELI";"DAC";31;22.5290341357503;37.6002176267621
111;"TRIS";"CAP";32;26.7513099848316;19.6203102507671
106;"MULL";"BAR";33;39.8166577937882;-17.120115478029
96;"LEPM";"BOS";34;37.4197371119887;-9.13885926497616
99;"ASPI";"CUC";34;22.351806088861;52.1129874911712
125;"LOPH";"PIS";34;30.0292111375427;13.2230874939402
113;"SPIC";"SMA";34;33.8878897050897;0.33082701781054
104;"TRAC";"TRA";34;42.7856173741552;-20.5340437122269
105;"ASPI";"CUC";35;33.295696606172;5.11868970331755
99;"PAGE";"ERY";35;41.050905105268;-14.7400041235425
107;"SPIC";"FLE";35;60.6500278874737;-42.2918649519225
81;"SPIC";"SMA";35;29.8701346171458;17.1738944219877
81;"OCTO";"VUL";35;34.6356331631985;1.05199993048964
90;"TRIS";"CAP";36;30.1224284693146;19.5122764974705
116;"NEPR";"NOR";36;43.3602083680595;-16.9745687234317
76;"SPIC";"SMA";36;41.5180832181845;-13.2907947343957
132;"NEPR";"NOR";37;49.3293882157277;-24.9940018753298
133;"LOPH";"PIS";37;30.0292111375427;23.2133599198761
128;"LOLI";"VUL";37;30.7862856811732;20.1833841963818
124;"SPIC";"SMA";38;31.2837735559523;21.468722218039
128;"ASPI";"CUC";39;34.654124788847;12.540715535692
97;"HELI";"DAC";39;59.4726186634989;-34.4236038761547
17;"PHYI";"BLE";40;39.8862177620419;0.285267052987952
19;"PHYI";"BLE";40;39.8862177620419;0.285267052987952
75;"ZEUS";"FAB";40;31.7577240131618;25.9536104773195
80;"ELED";"MOS";40;36.5094755785285;9.56059862860458
173;"LOPH";"PIS";40;40.8408825796233;-2.05892362385627
6;"SPIC";"SMA";40;25.8457910284667;54.7640772764268
102;"TRIS";"CAP";41;41.9225885845908;-2.20069565296331
138;"ASPI";"CUC";41;33.0995497398267;23.8687544763401
132;"TRAC";"MED";41;30.9756443425042;32.3620569330357
113;"NEPR";"NOR";41;42.0156889844993;-2.41740409130036
88;"LOPH";"PIS";41;37.2468510216938;10.0764195505287
124;"LOPH";"PIS";41;30.0292111375427;36.5337231544573
131;"MULL";"BAR";42;49.1658867954528;-14.5749161919227
113;"PAGE";"BOG";42;38.7684957955016;8.33538711830372
95;"TRIS";"CAP";42;34.5467803070948;21.5742816744477
101;"SPIC";"SMA";42;39.212453263716;7.10883024210939
78;"ARIT";"ANT";43;55.2121952398466;-22.1186554651481
86;"ARIT";"ANT";44;27.1789065763594;61.8902507221235
101;"ASPI";"CUC";44;46.7109490128781;-5.80366931130143
80;"TRAC";"MED";44;32.661065468774;34.7169768300018
93;"LOPH";"PIS";44;47.6084574374049;-7.5794462405114
81;"ZEUS";"FAB";45;40.2973570716573;11.6698544770079
12;"CITH";"MAC";45;44.7124141954456;0.643190061930793
126;"ASPI";"CUC";46;42.2960184956021;8.75728173984763
106;"ASPI";"CUC";47;30.1266412677416;56.0080978901744
107;"ASPI";"CUC";47;42.9265987981614;9.4892242010403
136;"NEPR";"NOR";47;39.6011095076447;18.6835434267998
124;"PAGE";"BOG";48;52.5961181591359;-8.73851211838438
132;"HELI";"DAC";48;44.6700068604712;7.45465105911048
138;"SPIC";"FLE";48;62.0099635391504;-22.5930846263199
93;"PAPE";"LON";48;47.8078965798949;0.401823618790804
80;"SPIC";"SMA";48;39.7312513754022;20.8116994515732
117;"SPIC";"FLE";49;49.6993558006857;-1.40717276797382
134;"LOPH";"PIS";49;47.6084574374049;2.92288941397594
136;"LOPH";"PIS";49;53.8334398562451;-8.97850828249535
102;"SPIC";"SMA";49;45.8797237664573;6.80099176147155
106;"TRIS";"CAP";50;42.6935372142819;17.1137442865097
129;"ASPI";"CUC";50;46.0321461068096;8.61974560991296
176;"CITH";"MAC";50;52.0222942130116;-3.88736068565357
179;"SEPI";"OFF";50;95.9907028383124;-47.9116221450941
25;"LOLI";"VUL";50;193.714279519904;-74.1887897351096
135;"TRAC";"MED";51;47.9821609282598;6.28950220948226
113;"TRAC";"TRA";51;61.6676123375667;-17.298565540648
136;"LOLI";"VUL";51;43.2147545914817;18.0152484541771
109;"PAGE";"ERY";52;62.8464245086171;-17.258618280074
111;"TRAC";"TRA";52;55.4681884762741;-6.2525720986139
113;"PHYI";"BLE";53;33.437178123772;58.506198710351
89;"PHYI";"BLE";54;44.6715526419097;20.8822993748791
128;"PAGE";"ERY";54;31.3962888910748;71.9948500516913
135;"LOPH";"PIS";54;39.5413126171474;36.5660278474987
137;"TRAC";"TRA";54;60.6446486029892;-10.9566940464746
118;"MULL";"BAR";55;49.1658867954528;11.8661811772441
129;"TRIS";"CAP";55;34.2950460924953;60.3730167081931
124;"ASPI";"CUC";56;40.2227828576556;39.2245787621865
111;"SPIC";"SMA";56;64.4165683216874;-13.0658439916517
107;"PAPE";"LON";57;55.5102511582401;2.6837364462883
88;"TRAC";"TRA";57;47.7862557777465;19.2811595558073
77;"LEPM";"BOS";60;52.4978929080376;14.2903013366728
139;"TRIS";"CAP";60;56.7647458934332;5.69940736216896
93;"HELI";"DAC";60;58.0089597383565;3.43229782196393
36;"ARIS";"FOL";60;114.881575930159;-47.7723042061364
8;"PAPE";"LON";60;103.954280050857;-42.2823187552772
25;"PAPE";"LON";60;61.9253261134868;-3.10910936497669
14;"CITH";"MAC";60;49.6819207016856;20.7682777811051
8;"SEPI";"OFF";60;61.2723742017607;-2.07658707261934
117;"PAGE";"ERY";61;79.2733762986219;-23.0510887158209
75;"PHYI";"BLE";62;57.2871934419517;8.22663194841919
138;"PHYI";"BLE";62;40.1496786480452;54.4221575059075
103;"ASPI";"CUC";64;72.9853382064149;-12.3111551268048
84;"EUTR";"GUR";65;64.4504703819645;0.852638646046737
132;"PAPE";"LON";65;107.847778921512;-39.7298668085647
102;"PAPE";"LON";66;85.6758888403252;-22.9654913496087
105;"PAGE";"ERY";67;57.6008800880949;16.3176671910743
104;"ASPI";"CUC";69;60.9317648156602;13.2414270434298
172;"SEPI";"OFF";70;111.475683482428;-37.2060364976059
84;"OCTO";"VUL";70;69.271266326397;1.05199993048964
111;"LOLI";"VUL";71;37.6851521772869;88.4031134224586
121;"PAGE";"ERY";73;103.635401293797;-29.5607494266833
81;"LOPH";"PIS";73;63.5386646420659;14.8906739089229
111;"PHYI";"BLE";74;53.4017230414133;38.5723077560861
6;"ILLE";"COI";75;75.3008771795164;-0.399566632934534
109;"TRAC";"TRA";75;79.8302203999934;-6.05061639037368
131;"PAPE";"LON";76;88.4513634425824;-14.0770734988897
103;"SPIC";"SMA";77;90.3111047358544;-14.7391672095998
121;"TRAC";"TRA";78;84.3953210959376;-7.57781475665888
134;"TRIS";"CAP";79;72.3667816272556;9.16610939935202
133;"TRAC";"TRA";79;91.1542434443712;-13.3337110650132
80;"PAGE";"ACA";80;59.2241584051719;35.080011526198
8;"MULL";"BAR";80;76.2125175760973;4.96963300040702
175;"BOOP";"BOO";80;100.913346903241;-20.7240643036972
23;"TRIS";"CAP";80;66.263189989208;20.7306802057511
14;"RAJA";"CLA";80;66.4374161676158;20.4140748011136
174;"ZEUS";"FAB";80;58.5939074109975;36.5329665401096
97;"LOPH";"PIS";80;74.4937020433875;7.3916288297841
78;"ARIS";"FOL";81;88.6187442501941;-8.59721531224177
79;"PHYI";"BLE";82;58.8855478845851;39.2531834138979
89;"HELI";"DAC";82;64.3650381909979;27.3983552323419
112;"PAGE";"ERY";82;58.365629399812;40.4936447070407
138;"PAPE";"LON";82;119.519098027132;-31.3917178479832
100;"LOPH";"PIS";82;54.9472978767706;49.2339080693285
131;"TRAC";"TRA";83;93.2961766616243;-11.0360113672905
108;"MULL";"BAR";86;58.617816192682;46.7130739181929
134;"ASPI";"CUC";86;118.323622599969;-27.3179791910612
146;"ARIS";"FOL";86;67.7618182448473;26.9151304193931
128;"TRAC";"TRA";86;96.4812672030536;-10.8635256427497
133;"LOPH";"BUD";87;87.7798292369499;-0.888392292088969
108;"PAPE";"LON";87;94.3726736618306;-7.81229711499899
121;"ELED";"MOS";87;48.0920196062843;80.903194983792
128;"TRIS";"CAP";88;131.267270051643;-32.961202007645
111;"ASPI";"CUC";89;88.6902399711565;0.349260560061846
88;"SPIC";"SMA";89;84.2762759570132;5.60504601009693
1;"TRIS";"CAP";90;88.0539567435252;2.21005770603024
22;"TRIS";"CAP";90;68.1663469756871;32.0299590531092
133;"TRIS";"CAP";90;78.5488635160198;14.5783604897668
4;"ELED";"CIR";90;115.870552726995;-22.3271160084557
136;"ASPI";"CUC";90;50.6831879922979;77.5736759370324
23;"PAPE";"LON";90;88.8718650277073;1.26939495636892
11;"CITH";"MAC";90;100.465150362879;-10.4166970587106
4;"SPIC";"SMA";90;51.5007456496672;74.7547513432585
7;"SPIC";"SMA";90;86.237520790284;4.36292599234824
95;"LOLI";"VUL";90;62.1426614310458;44.8280423262287
123;"LOPH";"BUD";92;63.7334917367734;44.3511056635192
131;"LOPH";"PIS";92;99.0826700252507;-7.14824300096652
132;"LOPH";"PIS";94;83.8626509937878;12.0880378643922
128;"MULL";"BAR";95;88.6289578500923;7.18844303763986
76;"ZEUS";"FAB";96;88.9056315276603;7.97966152473989
139;"TRAC";"TRA";99;88.8237374592303;11.456692582251
23;"PHYI";"BLE";100;75.0334389076318;33.2739128791667
175;"PAGE";"BOG";100;73.5381979778203;35.9837509618618
6;"BOOP";"BOO";100;163.416338310676;-38.8066083026002
27;"SCYO";"CAN";100;90.7815143480623;10.1545845738962
12;"TRIS";"CAP";100;90.1931800119376;10.8731280865853
180;"ASPI";"CUC";100;60.7045623128217;64.7322642484131
13;"PAPE";"LON";100;104.598521114606;-4.39635385434153
174;"PAPE";"LON";100;66.7909454435623;49.7208930580255
103;"LOPH";"PIS";101;90.0876334126281;12.1130572243918
111;"MULL";"SUR";101;80.9748757227753;24.7300463242234
121;"SPIC";"FLE";102;113.889944673367;-10.4398546399042
125;"TRAC";"TRA";102;101.879404393619;0.118370937775734
126;"TRAC";"TRA";104;109.794877437925;-5.27791238821817
10;"SPIC";"FLE";105;104.246664924731;0.722646691683813
123;"MERL";"MER";108;87.6408265107629;23.230239033331
86;"NEPR";"NOR";108;161.283490350631;-33.03716346589
106;"LOLI";"VUL";108;111.948176873433;-3.52678979122338
104;"MULL";"BAR";109;76.1514044565409;43.1359024536515
139;"PAGE";"BOG";110;126.90079565124;-13.318116379418
14;"BOOP";"BOO";110;111.933730270541;-1.72756707550705
78;"LEPM";"BOS";110;107.065408677799;2.74093319069321
129;"PAPE";"LON";110;112.624473723756;-2.33028722530859
117;"MULL";"SUR";110;108.514854264792;1.3686105420957
121;"MULL";"SUR";110;119.552657442524;-7.99033467500835
17;"TRAC";"TRA";110;106.873211405579;2.92569910953178
139;"ZEUS";"FAB";111;88.25045155161;25.7783932528501
90;"PHYI";"BLE";112;91.6735272936817;22.1726743874502
90;"SPIC";"FLE";112;151.599302650206;-26.1210321933842
117;"MULL";"BAR";114;143.75613262301;-20.6990352898845
102;"SPIC";"FLE";114;187.716147483093;-39.2700087187398
90;"TRAC";"MED";114;103.986922536163;9.62916991831763
99;"MERL";"MER";114;91.7959821868342;24.1884418949551
109;"ELED";"MOS";117;164.964177595451;-29.0755109955298
105;"TRAC";"TRA";118;190.947466683846;-38.2028983943662
100;"LOLI";"VUL";118;165.972465959781;-28.903870098192
8;"TRIS";"CAP";120;67.6448850089532;77.3970049385364
175;"HELI";"DAC";120;76.5997120117704;56.6585524258376
11;"PAPE";"LON";120;104.295415026324;15.0577903829349
2;"SEPI";"OFF";120;215.404610262578;-44.2908859500639
6;"MULL";"SUR";120;107.989857238803;11.1215470306977
89;"LEPM";"BOS";123;200.795062524489;-38.7435136832616
132;"TRIS";"CAP";123;101.719234502584;20.9210830198255
113;"MULL";"BAR";124;101.522352799107;22.1405893196468
84;"TRIS";"CAP";124;94.5879011783808;31.0949904323934
108;"MERL";"MER";124;87.6781711660493;41.4263075414319
124;"ELED";"MOS";124;202.983985298725;-38.9114368714789
75;"SPIC";"FLE";128;147.686284275409;-13.3297986146753
81;"PAPE";"LON";129;194.95202803659;-33.829875329233
78;"HELI";"DAC";130;208.860539603218;-37.7575102281327
105;"ELED";"MOS";131;118.773897388253;10.2935938624473
76;"PAGE";"ACA";135;136.184084572936;-0.869473534039821
118;"LOLI";"VUL";136;148.504591374349;-8.42033990910619
75;"TRAC";"MED";138;95.3578259108353;44.7180644921974
118;"ELED";"MOS";139;118.773897388253;17.0290805105357
139;"MICM";"POU";139;129.328571859588;7.47818366919918
108;"LOLI";"VUL";139;128.387116157164;8.26631531301351
8;"BOOP";"BOO";140;140.060355832766;-0.0430927312783018
93;"ZEUS";"FAB";140;139.002565412411;0.717565596454811
1;"EUTR";"GUR";140;125.903511587492;11.1962631024091
173;"PAPE";"LON";140;113.546922640965;23.2970447316124
179;"CITH";"MAC";140;122.309391278641;14.4638187929956
111;"LOPH";"PIS";140;137.751135271865;1.63255622082259
113;"ASPI";"CUC";141;112.015145174623;25.8758356115078
124;"LOLI";"VUL";141;139.192329771854;1.29868523007625
112;"MULL";"BAR";143;122.73506071438;16.5111249936802
125;"MULL";"BAR";143;97.1992519393201;47.1204738173011
104;"PAPE";"LON";145;242.84843045247;-40.2919756451219
79;"MICM";"POU";145;145.172063038346;-0.118523519432322
100;"TRAC";"TRA";146;144.579027870275;0.982834198469975
84;"ASPI";"CUC";148;124.65112303567;18.7313811506122
129;"TRAC";"TRA";148;160.269114602461;-7.65532063547841
146;"LOPH";"BUD";149;159.248938953184;-6.43579732496513
36;"LEPM";"BOS";150;213.676482342479;-29.8004168003941
180;"MERL";"MER";150;87.7104636981893;71.0172238014249
11;"TRAC";"TRA";150;105.337266451446;42.3997461232212
106;"SPIC";"FLE";151;184.647720840946;-18.2226570074646
117;"ILLE";"COI";152;167.268144865623;-9.12794535856698
112;"ELED";"MOS";153;171.539157406278;-10.8075367085834
100;"MULL";"BAR";154;98.3779847860998;56.5390878201433
133;"SPIC";"FLE";154;197.328666275387;-21.9576137077409
88;"TRIS";"CAP";157;131.00935254615;19.8387725370176
88;"SPIC";"FLE";158;223.281305405485;-29.2372463905711
129;"MULL";"BAR";159;79.9205711814662;98.9475270878352
21;"PHYI";"BLE";160;174.483884268482;-8.30098683852943
178;"PHYI";"BLE";160;129.429860954943;23.619077405715
116;"PAGE";"BOG";160;150.755938269594;6.13180604128202
16;"TRIS";"CAP";160;189.819080367104;-15.7092112707714
89;"TRIS";"CAP";160;127.625377304596;25.3669163446524
135;"ELED";"CIR";160;162.557342011026;-1.573193790812
7;"ASPI";"CUC";160;161.459615846568;-0.904012956376101
1;"PAPE";"LON";160;260.310814161368;-38.5350161054718
7;"CITH";"MAC";160;131.819320885304;21.3782614911327
21;"TRAC";"TRA";160;223.374256104997;-28.3713339263268
121;"MERL";"MER";163;144.402324308461;12.8790694890837
94;"PAPE";"LON";164;171.741378382737;-4.50757904451229
101;"MULL";"BAR";167;177.800024079099;-6.07425344008622
111;"NEPR";"NOR";168;192.621309787318;-12.7822356802079
138;"LOPH";"PIS";169;149.25353372066;13.2301499248233
75;"ELED";"MOS";170;169.202990369626;0.471037555916325
107;"ELED";"MOS";170;97.0494031442047;75.1685167474948
17;"ILLE";"COI";175;174.168199123822;0.477584817643208
88;"ASPI";"CUC";177;163.943084524956;7.96429780059232
13;"TRIS";"CAP";180;103.32125528624;74.2139112628176
172;"PAPE";"LON";180;120.533968630387;49.335496080747
2;"CITH";"MAC";180;150.955034247829;19.2408063082457
109;"MULL";"BAR";181;112.716870491358;60.5793340526412
142;"GALU";"MEL";185;143.47940428078;28.9383663999375
105;"MULL";"BAR";186;146.1095216406;27.3017650810758
84;"PAPE";"LON";188;287.843266999257;-34.6866779411292
96;"PAPE";"LON";190;282.924556689327;-32.8442881652599
106;"LOPH";"PIS";190;183.942653639149;3.2930623979876
94;"MICM";"POU";190;157.078821403386;20.9583814689254
94;"ARIS";"FOL";192;239.54273383885;-19.8472869858927
101;"TRAC";"TRA";198;220.561112834336;-10.2289621884897
171;"MULL";"BAR";200;319.496332059792;-37.4014722765045
1;"BOOP";"BOO";200;195.6050271119;2.24686090791791
7;"BOOP";"BOO";200;282.35923103265;-29.1682445555062
172;"ASPI";"CUC";200;190.37595673868;5.05528293918455
27;"HELI";"DAC";200;308.648426624829;-35.2013544384252
136;"HELI";"DAC";200;198.775657538112;0.615941849747426
13;"PAGE";"ERY";200;191.185382668758;4.6105079835075
6;"PAPE";"LON";200;292.099973370703;-31.5302916011633
12;"PAPE";"LON";200;240.586355417656;-16.8697660959195
21;"PAPE";"LON";200;206.47085374341;-3.13402769741608
175;"TRIG";"LUC";200;201.562852267804;-0.775367211874594
13;"CITH";"MAC";200;231.744619257118;-13.698104128104
16;"SPIC";"SMA";200;183.172851544387;9.18648605060101
19;"MULL";"SUR";200;187.689883894156;6.55875311467842
6;"SOLE";"VUL";200;139.64644302307;43.218828686499
109;"LOLI";"VUL";204;145.257642214115;40.4401151571061
135;"ASPI";"CUC";207;187.099411691249;10.6363713968224
80;"LOLI";"VUL";208;212.742923057738;-2.22941519725698
97;"PHYI";"BLE";209;188.98967987234;10.5880491152624
136;"PAPE";"LON";209;296.134261131513;-29.4239041435387
10;"ASPI";"CUC";210;135.945792153797;54.473335785505
103;"MULL";"BAR";216;299.159314771063;-27.7976685548642
80;"TRAC";"TRA";219;237.640992106061;-7.8441820751788
99;"LOLI";"VUL";220;221.196563343293;-0.540950241363235
142;"ILLE";"COI";221;272.969420646528;-19.038550370748
131;"ELED";"MOS";221;118.773897388253;86.0678186534417
81;"TRIS";"CAP";223;230.015170300155;-3.04987288055835
95;"PAPE";"LON";228;277.408232208671;-17.8106582545487
125;"ILLE";"COI";230;254.708560832319;-9.70071863763745
128;"ELED";"MOS";230;173.073168660022;32.8917716019879
137;"LOPH";"BUD";231;189.778599253124;21.7207845927321
135;"TRAC";"TRA";234;271.289835653351;-13.7453862079075
22;"PHYI";"BLE";240;216.694018685633;10.7552490168999
39;"LEPM";"BOS";240;410.201085987046;-41.4921100409815
23;"LOPH";"BUD";240;350.538936925747;-31.5339967351934
10;"TRIS";"CAP";240;145.125481362089;65.3741284765821
14;"ASPI";"CUC";240;124.499246667615;92.7722507757384
90;"LOPH";"PIS";240;242.219004030963;-0.916114753192324
107;"LOPH";"PIS";240;158.002117015725;51.896698938606
105;"MERL";"MER";241;190.556069085857;26.471962376289
80;"PAGE";"ERY";248;253.510167202632;-2.17354880217786
137;"LOPH";"PIS";248;380.793951655758;-34.8729151496097
101;"TRAC";"MED";249;322.210815718518;-22.7214023077594
