"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
148;"EUTR";"GUR";2;1.87675692809599;6.56681054743975
147;"TRIS";"CAP";3;3.42563929512039;-12.4251054606561
132;"EUTR";"GUR";4;3.65607630964687;9.40690678270734
125;"TRIS";"CAP";5;3.27241389246107;52.7924084272749
160;"ELED";"CIR";5;5.95271835549065;-16.0047611628036
131;"ASPI";"CUC";5;4.52361327794649;10.5311107024995
109;"ZEUS";"FAB";5;4.97952534415503;0.411176857830544
146;"EUTR";"GUR";5;2.97322512662204;68.1675549971097
76;"PAPE";"LON";5;7.97505992628803;-37.3045463455566
98;"NEPR";"NOR";5;5.27911445701517;-5.28714539697597
123;"PAGE";"ERY";6;4.48363009839461;33.8201383327394
147;"PAPE";"LON";6;3.75877143812814;59.626625315318
147;"LOPH";"BUD";7;6.9408818655088;0.851738087993903
104;"ASPI";"CUC";7;6.74215495589341;3.82437137374311
154;"ASPI";"CUC";7;6.74215495589341;3.82437137374311
105;"EUTR";"GUR";7;6.03851465129477;15.922547252561
160;"SPIC";"SMA";7;10.7319021227399;-34.7739112792722
105;"ELED";"CIR";8;13.8292656487425;-42.1516644253092
76;"LOLI";"VUL";8;7.71895191297453;3.64101357534126
137;"PHYI";"BLE";10;9.14755184705476;9.31886659073381
126;"ASPI";"CUC";10;8.45765520017134;18.2360803712761
112;"SPIC";"FLE";10;15.5676408694985;-35.7641913516077
97;"EUTR";"GUR";10;5.32604631050244;87.7565349043433
88;"SPIC";"SMA";10;10.7319021227399;-6.81987325610318
162;"TRAC";"TRA";10;7.34645110566487;36.1201463967951
95;"PHYI";"BLE";11;11.35314534845;-3.11055075585939
133;"PHYI";"BLE";11;11.35314534845;-3.11055075585939
157;"EUTR";"GUR";11;10.7653125377161;2.18003389554763
97;"PHYI";"BLE";12;11.7085141301733;2.48952058806074
83;"EUTR";"GUR";12;11.6533597005474;2.97459538159007
93;"EUTR";"GUR";12;12.3541675044776;-2.86678567656817
84;"LOPH";"BUD";15;15.3344760270559;-2.18120284296486
154;"ZEUS";"FAB";15;11.9119385511436;25.924088137274
117;"SPIC";"FLE";15;22.1365326498214;-32.2387103830326
157;"MERL";"MER";15;22.3701218680451;-32.9462749980502
116;"NEPR";"NOR";15;12.896794751001;16.3079686821857
84;"LOPH";"PIS";15;16.1702842797435;-7.23725235436643
109;"SPIC";"SMA";15;19.0082801933639;-21.0870218272733
88;"EUTR";"GUR";16;16.4093022484474;-2.49433060742194
78;"NEPR";"NOR";16;15.8600377694527;0.882483589142747
134;"PAPE";"LON";17;20.0910772763356;-15.3853237127133
158;"PAPE";"LON";17;16.7009507843652;1.79061192081781
132;"SPIC";"SMA";17;16.9439448525449;0.33082701781054
147;"EUTR";"GUR";19;19.0879648649175;-0.460839411325343
110;"PHYI";"BLE";20;36.8390823257268;-45.7098311430172
138;"ELED";"CIR";20;17.7618274593022;12.6010262504022
117;"ILLE";"COI";20;12.4974020032979;60.0332612708012
110;"HELI";"DAC";20;29.4696830023852;-32.1336439269427
104;"SPIC";"FLE";20;18.0225928429451;10.9718239450156
107;"EUTR";"GUR";20;23.540295529899;-15.0392994234179
134;"TRIP";"LAS";20;22.0641287873918;-9.35513387943663
100;"TRIG";"LUC";20;21.6234171027738;-7.50768065499508
76;"LOPH";"PIS";20;21.0414729327135;-4.94961990562126
110;"SPIC";"SMA";20;30.1640006802677;-33.6957978087987
100;"TRAC";"TRA";20;13.2266543630972;51.2098180761464
134;"TRAC";"TRA";20;17.2404889266558;16.005990810839
125;"LOPH";"BUD";25;28.6820311856085;-12.8374143441278
148;"LOPH";"BUD";25;25.5612073523177;-2.19554320960839
88;"ASPI";"CUC";25;23.2497828934718;7.52788580670834
133;"ASPI";"CUC";25;22.838595543464;9.46382386965363
121;"ZEUS";"FAB";25;18.1528944255581;37.7190844276689
150;"ZEUS";"FAB";25;20.6321428038623;21.1701578341155
160;"SPIC";"FLE";25;22.1365326498214;12.9354826949456
158;"EUTR";"GUR";25;16.0913588482186;55.3628890873169
160;"EUTR";"GUR";25;22.3397971476866;11.9079096140714
104;"PAPE";"LON";25;13.2617716612809;88.5117662897935
110;"PAPE";"LON";25;25.1242295792425;-0.494461248455973
112;"PAPE";"LON";25;23.5351449106097;6.22411756950742
132;"PAPE";"LON";25;25.0335262833104;-0.133925532228052
137;"MICM";"POU";25;35.3523183995532;-29.2832800455997
125;"SPIC";"SMA";25;28.4613102057223;-12.1614577147132
109;"LOLI";"VUL";25;19.2347275738514;29.9732471074153
154;"PHYI";"BLE";30;28.7068546923075;4.50465688962792
131;"LOPH";"BUD";30;25.5612073523177;17.3653481484699
125;"ELED";"CIR";30;18.1030878275041;65.717585231072
109;"PAGE";"ERY";30;25.0200914832361;19.9036383224277
146;"PAGE";"ERY";30;31.3962888910748;-4.44730552683814
151;"ZEUS";"FAB";30;29.387077711314;2.08568641872817
126;"EUTR";"GUR";30;28.8663418404014;3.92726645401233
131;"PAPE";"LON";30;29.2542834760688;2.54908490423711
154;"PAPE";"LON";30;18.0527970901098;66.179234443595
117;"SPIC";"SMA";30;29.8461455657368;0.515491804207415
121;"SPIC";"SMA";30;26.206446815543;14.4756487255153
133;"SPIC";"SMA";30;27.2224890780392;10.2030013273158
110;"TRIS";"CAP";34;34.8266015012934;-2.37347735828527
104;"PAGE";"ACA";35;28.1432010822143;24.3639623572138
