"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
109;"SPIC";"FLE";2;1.8137884800372;10.2664407681638
109;"TRAC";"TRA";3;3.5338100301672;-15.1057930565086
88;"PAPE";"LON";4;5.32108831433325;-24.827408159618
103;"PAPE";"LON";4;3.71542673084532;7.65923512344251
121;"SPIC";"SMA";4;3.85408895899416;3.78587631365717
125;"SPIC";"SMA";4;3.85408895899416;3.78587631365717
88;"LOLI";"VUL";4;7.968377198228;-49.8015731372566
107;"ZEUS";"FAB";5;4.03481069188474;23.9215512652565
100;"PAPE";"LON";5;6.24480347728725;-19.9334291593752
102;"PAPE";"LON";5;6.24480347728725;-19.9334291593752
110;"CITH";"MAC";5;4.15993034125245;20.1943203331291
89;"TRIS";"CAP";6;6.02244982427805;-0.372768971649124
84;"HELI";"DAC";6;5.96590926536742;0.571425630464746
135;"HELI";"DAC";6;7.62732492705694;-21.3354608938216
106;"PAPE";"LON";6;7.08040865154964;-15.2591284588239
81;"CITH";"MAC";6;10.8025585910073;-44.4576028035175
129;"SPIC";"FLE";7;10.7159722338573;-34.6769490696945
138;"PAPE";"LON";7;9.16449772208729;-23.618290797003
83;"CITH";"MAC";7;6.95520525591431;0.644046328432919
102;"CITH";"MAC";7;6.95520525591431;0.644046328432919
123;"MULL";"BAR";8;8.31969762950636;-3.84265923766912
143;"TRIS";"CAP";8;10.0614320698638;-20.4884558733769
79;"HELI";"DAC";8;9.61925700614211;-16.8334935339411
107;"PAPE";"LON";8;11.5303915561321;-30.6181411008073
77;"CITH";"MAC";8;8.3198606825049;-3.84454373349676
105;"CITH";"MAC";8;8.1121456288126;-1.3824410204654
129;"MULL";"BAR";9;9.79770207969589;-8.14172622526456
93;"PAPE";"LON";9;9.50004350062044;-5.26359169395156
110;"PAPE";"LON";9;11.2953794257247;-20.3214016918909
129;"TRAC";"TRA";10;13.2266543630972;-24.3950909619268
84;"MULL";"BAR";11;13.2690265794638;-17.1001735950662
84;"ZEUS";"FAB";11;10.2017368521801;7.82477689227347
93;"SPIC";"FLE";11;13.7052466980064;-19.7387668942866
96;"ILLE";"COI";12;12.4974020032979;-3.98004323751929
133;"ZEUS";"FAB";12;12.1195658756562;-0.986552463041363
108;"PAPE";"LON";12;11.1507191747049;7.61637713217333
113;"PAPE";"LON";12;14.6370979376749;-18.0165354423652
101;"NEPR";"NOR";12;13.4855242565169;-11.0156952615249
102;"LOPH";"BUD";13;13.2961153050963;-2.22708135648319
89;"ZEUS";"FAB";13;10.2017368521801;27.4292817817777
101;"PAPE";"LON";14;9.16819291576037;52.7018478846974
83;"SPIC";"FLE";15;19.7769922673246;-24.1542910203648
76;"ILLE";"COI";16;16.0600018269496;-0.373610337010834
137;"ZEUS";"FAB";16;12.1195658756562;32.0179300492782
118;"SPIC";"FLE";16;18.379033308691;-12.9442787807889
135;"PAPE";"LON";16;29.5454491725574;-45.846143998172
137;"CITH";"MAC";16;16.2242912576252;-1.3824410204654
84;"LOPH";"PIS";16;18.4998396844339;-13.51276404053
117;"SPIC";"SMA";16;18.9060600247167;-15.3710504511117
103;"ARIT";"ANT";17;16.7478224173728;1.50573355952001
104;"TRIS";"CAP";18;12.188103304221;47.6849970065986
102;"ASPI";"CUC";18;17.6244696715524;2.13073264300087
