Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;1994;75;6;2;0.045;40.22358;18.53258;93
MEDITS-GSA18;1994;76;6;2;0.044;40.31842;18.43508;86
MEDITS-GSA18;1994;77;6;4;0.093;40.37383;18.621;344
MEDITS-GSA18;1994;78;6;5;0.093;40.34075;18.63775;557
MEDITS-GSA18;1994;79;6;3;0.046;40.39017;18.60033;197
MEDITS-GSA18;1994;80;6;1;0.041;41.10967;16.99208;44
MEDITS-GSA18;1994;81;6;3;0.046;40.41367;18.60342;194
MEDITS-GSA18;1994;82;6;4;0.093;40.5675;18.593;327
MEDITS-GSA18;1994;83;6;3;0.045;40.648;18.40158;125
MEDITS-GSA18;1994;84;6;3;0.045;40.61258;18.49142;132
MEDITS-GSA18;1994;85;6;4;0.093;40.64583;18.59108;314
MEDITS-GSA18;1994;86;6;5;0.093;40.67542;18.65092;578
MEDITS-GSA18;1994;87;6;5;0.093;40.56275;18.63183;625.5
MEDITS-GSA18;1994;88;6;2;0.044;40.5765;18.24442;78
MEDITS-GSA18;1994;89;6;3;0.043;40.65508;18.326;125
MEDITS-GSA18;1994;90;6;3;0.045;40.663;18.39633;107
MEDITS-GSA18;1994;91;6;5;0.093;40.73042;18.5915;594
MEDITS-GSA18;1994;92;6;4;0.093;40.70017;18.52742;248
MEDITS-GSA18;1994;93;6;3;0.045;40.72808;18.3455;135
MEDITS-GSA18;1994;94;6;4;0.09;40.758;18.37433;397
MEDITS-GSA18;1994;95;6;3;0.045;40.7335;18.285;132
MEDITS-GSA18;1994;96;6;4;0.09;40.80158;18.29283;363
MEDITS-GSA18;1994;97;6;3;0.045;40.81233;17.94967;116
MEDITS-GSA18;1994;98;6;5;0.09;40.8165;18.33492;560
MEDITS-GSA18;1994;99;6;1;0.042;41.117;16.99533;45
MEDITS-GSA18;1994;100;6;1;0.041;41.20525;16.71967;41
MEDITS-GSA18;1994;101;6;2;0.044;40.88742;17.52283;74
MEDITS-GSA18;1994;102;6;3;0.045;41.12633;17.20017;116
MEDITS-GSA18;1994;103;6;3;0.045;41.14625;17.12942;119
MEDITS-GSA18;1994;104;6;2;0.044;41.13242;17.04325;81.5
MEDITS-GSA18;1994;105;6;2;0.042;41.19258;16.80442;58
MEDITS-GSA18;1994;106;6;3;0.044;41.23108;16.93117;114.5
MEDITS-GSA18;1994;107;6;3;0.045;41.229;17.10808;137.5
MEDITS-GSA18;1994;108;7;3;0.09;41.31692;16.77275;104.5
MEDITS-GSA18;1994;109;7;1;0.041;41.24575;16.62242;36.5
MEDITS-GSA18;1994;110;7;3;0.045;41.45167;17.00283;149
MEDITS-GSA18;1994;111;7;3;0.045;41.43525;16.83375;116
MEDITS-GSA18;1994;112;7;2;0.042;41.29983;16.58042;61
MEDITS-GSA18;1994;113;7;3;0.046;41.46592;16.817;116
MEDITS-GSA18;1994;114;7;2;0.042;41.34683;16.54108;61
MEDITS-GSA18;1994;115;7;1;0.039;41.32692;16.44625;28
MEDITS-GSA18;1994;116;7;5;0.093;41.55483;17.17683;594
MEDITS-GSA18;1994;117;7;1;0.042;41.81775;16.34858;45
MEDITS-GSA18;1994;118;7;1;0.039;41.78883;16.34017;36
MEDITS-GSA18;1994;119;7;1;0.039;41.71267;16.278;20.5
MEDITS-GSA18;1994;120;7;1;0.039;41.687;16.21567;15
MEDITS-GSA18;1994;121;7;1;0.039;41.65525;16.20367;15.5
MEDITS-GSA18;1994;122;7;1;0.039;41.736;16.35125;37
MEDITS-GSA18;1994;123;7;1;0.034;41.61717;16.34392;32
MEDITS-GSA18;1994;124;7;1;0.036;41.58033;16.39642;41
MEDITS-GSA18;1994;125;7;1;0.042;41.52508;16.39117;45
MEDITS-GSA18;1994;126;7;2;0.043;41.7605;16.48017;78
MEDITS-GSA18;1994;127;7;2;0.043;41.67625;16.50725;78
MEDITS-GSA18;1994;128;7;2;0.043;41.6495;16.54483;83
MEDITS-GSA18;1994;129;7;2;0.042;41.6215;16.40042;58
MEDITS-GSA18;1994;130;7;2;0.043;41.54458;16.52992;74
MEDITS-GSA18;1994;131;7;2;0.043;41.46708;16.57767;83
MEDITS-GSA18;1994;132;7;3;0.045;41.93108;16.56708;116
MEDITS-GSA18;1994;133;7;3;0.046;41.90167;16.69025;149
MEDITS-GSA18;1994;134;7;3;0.046;41.86092;16.7085;149
MEDITS-GSA18;1994;135;7;3;0.045;41.6995;16.70117;106
MEDITS-GSA18;1994;136;7;3;0.044;41.60275;16.80942;116
MEDITS-GSA18;1994;137;7;3;0.045;41.57033;16.95892;165
MEDITS-GSA18;1994;138;7;3;0.044;41.56492;16.67683;102
MEDITS-GSA18;1994;139;7;4;0.092;41.93175;16.81442;231
MEDITS-GSA18;1994;140;7;4;0.092;41.87633;16.86792;272
MEDITS-GSA18;1994;141;7;4;0.092;41.793;16.8775;239
MEDITS-GSA18;1994;142;7;4;0.092;41.56692;17.01217;231
MEDITS-GSA18;1994;143;7;5;0.093;42.0195;17.013;602
MEDITS-GSA18;1994;144;7;5;0.093;42.08375;17.00892;602
MEDITS-GSA18;1994;145;7;5;0.031;41.65525;17.09108;578
MEDITS-GSA18;1994;146;7;5;0.093;41.63442;17.1055;569
