Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;1995;75;6;2;0.048;40.23492;18.52867;91.5
MEDITS-GSA18;1995;76;6;2;0.046;40.31908;18.43783;88.5
MEDITS-GSA18;1995;77;6;4;0.104;40.34158;18.61742;371.5
MEDITS-GSA18;1995;78;6;5;0.102;40.37858;18.63967;552.5
MEDITS-GSA18;1995;79;6;3;0.049;40.39133;18.599;186.5
MEDITS-GSA18;1995;80;6;1;0.043;41.11942;16.98417;37.5
MEDITS-GSA18;1995;81;6;3;0.049;40.42375;18.59783;187.5
MEDITS-GSA18;1995;82;6;4;0.1;40.59058;18.5755;313.5
MEDITS-GSA18;1995;83;6;3;0.048;40.67008;18.42667;116
MEDITS-GSA18;1995;84;6;3;0.048;40.62092;18.48125;122
MEDITS-GSA18;1995;85;6;4;0.101;40.66225;18.569;492.5
MEDITS-GSA18;1995;86;6;5;0.105;40.69092;18.58883;643.5
MEDITS-GSA18;1995;87;6;5;0.105;40.57025;18.63067;561.5
MEDITS-GSA18;1995;88;6;2;0.047;40.56117;18.25392;81.5
MEDITS-GSA18;1995;89;6;3;0.045;40.66783;18.32308;118
MEDITS-GSA18;1995;90;6;3;0.048;40.65392;18.41417;120
MEDITS-GSA18;1995;91;6;5;0.102;40.72342;18.58642;660
MEDITS-GSA18;1995;92;6;4;0.101;40.66933;18.52958;371.5
MEDITS-GSA18;1995;93;6;3;0.051;40.72675;18.34417;149.5
MEDITS-GSA18;1995;94;6;4;0.101;40.73833;18.39158;330
MEDITS-GSA18;1995;95;6;3;0.051;40.72858;18.26458;116
MEDITS-GSA18;1995;96;6;4;0.081;40.80033;18.2865;373
MEDITS-GSA18;1995;97;6;3;0.045;40.80675;17.95567;109
MEDITS-GSA18;1995;98;6;5;0.102;40.81917;18.32492;628.5
MEDITS-GSA18;1995;99;6;1;0.046;41.1215;16.98758;43
MEDITS-GSA18;1995;100;7;1;0.043;41.21283;16.71167;45.5
MEDITS-GSA18;1995;101;6;2;0.046;40.88158;17.54;64.5
MEDITS-GSA18;1995;102;6;3;0.051;41.1245;17.19592;112.5
MEDITS-GSA18;1995;103;6;3;0.051;41.14942;17.12633;114.5
MEDITS-GSA18;1995;104;6;2;0.048;41.13517;17.03875;84
MEDITS-GSA18;1995;105;6;1;0.043;41.19175;16.78858;50
MEDITS-GSA18;1995;106;6;3;0.048;41.233;16.92917;111.5
MEDITS-GSA18;1995;107;6;3;0.049;41.22117;17.11292;131
MEDITS-GSA18;1995;108;6;2;0.048;41.31925;16.78533;99
MEDITS-GSA18;1995;109;7;1;0.046;41.24167;16.63075;39
MEDITS-GSA18;1995;110;7;3;0.032;41.43867;16.97667;132
MEDITS-GSA18;1995;111;7;3;0.049;41.42425;16.83917;113.5
MEDITS-GSA18;1995;112;7;2;0.044;41.29408;16.59567;51.5
MEDITS-GSA18;1995;113;7;3;0.048;41.46233;16.81292;111.5
MEDITS-GSA18;1995;114;7;2;0.044;41.33917;16.53783;52
MEDITS-GSA18;1995;115;7;1;0.043;41.3355;16.44658;28
MEDITS-GSA18;1995;116;7;5;0.102;41.58217;17.16958;561
MEDITS-GSA18;1995;117;7;1;0.044;41.80833;16.37458;47
MEDITS-GSA18;1995;118;7;1;0.044;41.7165;16.38667;47
MEDITS-GSA18;1995;119;7;1;0.043;41.70067;16.31925;31
MEDITS-GSA18;1995;120;7;1;0.041;41.70108;16.26892;17.5
MEDITS-GSA18;1995;121;7;1;0.041;41.68867;16.22867;15
MEDITS-GSA18;1995;122;7;1;0.043;41.68217;16.37467;43
MEDITS-GSA18;1995;123;7;1;0.043;41.57758;16.36033;38
MEDITS-GSA18;1995;124;7;1;0.044;41.59425;16.39925;47.5
MEDITS-GSA18;1995;125;7;1;0.044;41.52908;16.39167;44.5
MEDITS-GSA18;1995;126;7;2;0.046;41.73725;16.47425;76.5
MEDITS-GSA18;1995;127;7;2;0.047;41.63633;16.52792;82
MEDITS-GSA18;1995;128;7;2;0.047;41.608;16.54442;83
MEDITS-GSA18;1995;129;7;2;0.044;41.61025;16.40525;55.5
MEDITS-GSA18;1995;130;7;2;0.046;41.539;16.52583;76
MEDITS-GSA18;1995;131;7;2;0.047;41.48217;16.55392;77
MEDITS-GSA18;1995;132;7;3;0.048;41.92025;16.59;114
MEDITS-GSA18;1995;133;7;3;0.049;41.90358;16.683;137.5
MEDITS-GSA18;1995;134;7;3;0.048;41.87542;16.69575;136.5
MEDITS-GSA18;1995;135;7;3;0.048;41.69983;16.67683;107.5
MEDITS-GSA18;1995;136;7;3;0.051;41.5865;16.81817;121.5
MEDITS-GSA18;1995;137;7;3;0.049;41.57467;16.93458;152.5
MEDITS-GSA18;1995;138;7;3;0.048;41.58258;16.6765;101
MEDITS-GSA18;1995;139;7;4;0.099;41.92283;16.82017;223.5
MEDITS-GSA18;1995;140;7;4;0.104;41.88283;16.8625;255
MEDITS-GSA18;1995;141;7;4;0.099;41.80875;16.87517;234
MEDITS-GSA18;1995;142;7;4;0.099;41.57208;17.02983;297
MEDITS-GSA18;1995;143;7;5;0.105;42.02075;17.0085;592
MEDITS-GSA18;1995;144;7;5;0.108;42.05367;17.0065;575
MEDITS-GSA18;1995;145;7;5;0.102;41.61025;17.13742;553
MEDITS-GSA18;1995;146;7;5;0.102;41.62042;17.13825;553
